2,,назва,,ціна долар,ціна грн.,,,ціна для продажу,Опт.,ціна для продажу 2 (50%),ціна для продажу 3 (45%),ціна для продажу 4 (30%),,,,,,,,,,
,10119,"Сопло для 3d принтера Flying Bear Ghost 6, 0,8",,"3,035","127,47","159,3375","219,88575","203,44212","178,458","183,097908","191,205","243,4613265","215,8226438","-65,56738125",,,,,,,,
,10120,Хотенд з радіатором для 3д принтера Ender-6 + силіконовий чохол ,,"8,94","375,48","469,35","647,703","599,26608","525,672","539,339472","563,22","717,148026","635,734575","-193,137525",,,,,,,,
,10121,"Сопло YES для 3d принтерів Ender-3 V3 SE, Ender-7, Ender-5 S1 0,4 мм мідне з покриттям",,"1,4","58,8","73,5","101,43","93,8448","82,32","84,46032","88,2","112,30506","99,55575","-30,24525",,,,,,,,
,10122,"Сопло YES для 3d принтерів Ender-3 V3 SE, Ender-7, Ender-5 S1 1,0 мм мідне з покриттям",,"1,1","46,2","57,75","79,695","73,7352","64,68","66,36168","69,3","88,23969","78,222375","-23,764125",,,,,,,,
,10123,"Сопло YES для 3d принтерів Ender-3 V3 SE, Ender-7, Ender-5 S1 1,0 мм латунне",,"0,5",21,"26,25","36,225","33,516","29,4","30,1644","31,5","40,10895","35,555625","-10,801875",,,,,,,,
,10124,"Біметалеве горло Hhidoo для 3д принтера Creality K1, K1 Max",,"2,16","90,72","113,4","156,492","144,78912","127,008","130,310208","136,08","173,270664","153,6003","-46,6641",,,,,,,,
,10125,"Сопло із загартованої сталі Hhidoo для 3д принтера Creality K1, K1 Max, діамер 0,4 мм",,"2,225","93,45","116,8125","161,20125","149,1462","130,83","134,23158","140,175","178,4848275","158,2225313","-48,06834375",,,,,,,,
,10126,Прямий екструдер BIQU H2 V2S,,43,1806,"2257,5","3115,35","2882,376","2528,4","2594,1384",2709,"3449,3697","3057,78375","-928,96125",,,,,,,,
"13,4",10127,Двигун flyingbear для екструдера 3д принтера Ghost 6,,"15,5",651,"813,75","1122,975","1038,996","911,4","935,0964","976,5","1130,420813","1102,224375","-334,858125",,,,,,,,
,10128,Зносостійка шестерня maccurat для екструдера 3D-принтера Bambu Lab P1P X1 X1C,,11,462,"577,5","796,95","737,352","646,8","663,6168",693,1938,"782,22375","-237,64125",,,,,,,,
,10129,"Високотемпературний хотенд IdeaFormer для 3d принтерів Ender-3 S1, CR-10 Smart Pro, 300℃  з екструдером Sprite",,7,294,"367,5","507,15","469,224","411,6","422,3016",441,3,"497,77875","-151,22625",,,,,,,,
,10130,Комплект для хотенду для 3д принтера Elegoo Neptune 4 pro ,,"5,06","212,52","265,65","366,597","339,18192","297,528","305,263728","318,78","405,902574","359,822925","-109,314975",,,,,,,,
,10131,Сопло T-Trees Volcano із загартованаї сталі для високошвидкісного 3д друку Creality K1/K1 Max/ Anycubic Vyper/Kobra / Sovol Sv06 Plus/Sv07,,"1,7","71,4","89,25","123,165","113,9544","99,96","102,55896","107,1","136,37043","120,889125","-36,726375",,,,,,,,
,10132,Біметалеве горло AOKIN для 3д принтера CR 10 S4 S5 Ender-3 V2 Ender-3 Pro,,"1,57","65,94","82,425","113,7465","105,24024","92,316","94,716216","98,91","125,942103","111,6446625","-33,9178875",,,,,,,,
,10133,Пружна металева адгезивна пластина PEI - PEO для 3д принтерів 235x235 mm,,"12,76","535,92","669,9","924,462","855,32832","750,288","769,795488","803,88","1023,580404","907,37955","-275,66385",,,,,,,,
,10134,Пружна металева адгезивна пластина PEI - PEO з магнітною основою для 3д принтерів 235x235 mm,,9,378,"472,5","652,05","603,288","529,2","542,9592",567,"721,9611","640,00125","-194,43375",,,,,,,,
,10135,CREALITY Пружна металева адгезивна пластина PEI - PEO з магнітною основою для 3д принтерів 235x235 mm ,,"16,69","700,98","876,225","1209,1905","1118,76408","981,372","1006,887672","1051,47","1338,836751","1186,846763","-360,5665875",,,,,,,,
,10136,Комплект екструдера E3D V6 з біметалевим горлом ,,"3,6","151,2",189,"260,82","241,3152","211,68","217,18368","226,8","288,78444","256,0005","-77,7735",,,,,,,,
,10137,Пружна металева адгезивна пластина maccurat PEI - PEI для 3д принтерів 220x220 mm,,12,504,630,"869,4","804,384","705,6","723,9456",756,"962,6148","853,335","-259,245",,,,,,,,
,10138,Горло (термобар'єр) TWO TREES V5 високотемпературне біметалеве для 3д принтерів,,"1,666666667",70,"87,5","120,75","111,72",98,"100,548",105,"133,6965","118,51875","-36,00625",,,,,,,,
,10139,Горло (термобар'єр) TWO TREES E3D  високотемпературне біметалеве для 3д принтерів,,"1,1","46,2","57,75","79,695","73,7352","64,68","66,36168","69,3","88,23969","78,222375","-23,764125",,,,,,,,
,10140,Горло (термобар'єр) TWO TREES V6 високотемпературне біметалеве для 3д принтерів,,"2,01","84,42","105,525","145,6245","134,73432","118,188","121,260888","126,63","161,237979","142,9336125","-43,4235375",,,,,,,,
,10141,Горло (термобар'єр) TWO TREES CR6 SE високотемпературне біметалеве для 3д принтерів,,"1,14","47,88","59,85","82,593","76,41648","67,032","68,774832","71,82","91,448406","81,066825","-24,628275",,,,,,,,
,10142,Горло (термобар'єр) TWO TREES R10 високотемпературне біметалеве для 3д принтерів,,"1,27","53,34","66,675","92,0115","85,13064","74,676","76,617576","80,01",58,"90,3112875","-27,4367625",,,,,,,,
,10143,Горло (термобар'єр) TWO TREES E3D V5 високотемпературне біметалеве для 3д принтерів,,"1,14","47,88","59,85","82,593","76,41648","67,032","68,774832","71,82","91,448406","81,066825","-24,628275",,,,,,,,
,10144,Горло (термобар'єр) TWO TREES E3D V6 високотемпературне біметалеве для 3д принтерів,,"1,2","50,4",63,"86,94","80,4384","70,56","72,39456","75,6","96,26148","85,3335","-25,9245",,,,,,,,
,10145,Камера HD якості для Creality K1/K1 MAX,,"17,5",735,"918,75","1267,875","1173,06",1029,"1055,754","1102,5","1403,81325","185,22","5,88","0,006349206349",,,,,,,
,10146,Улучшенная каретка NoEnName_Null для прямой экструзии Creality CR10 Ender-3 5 Pro,,"8,59","360,78","450,975","622,3455","575,80488","505,092","518,224392","541,17","689,071761","610,8456375","-185,5762125",,,,,,,,
,10147,Сопла латунні Creality для 3д принтерів K1/K1 MAX,,"1,22","51,24","64,05","88,389","81,77904","71,736","73,601136","76,86","97,865838","86,755725","-26,356575",,,,,,,,
,10148,"Латунні сопла AOKIN MK8, 0,2 мм, для 3d принтера",,"0,175","7,35","9,1875","12,67875","11,7306","10,29","10,55754","11,025","14,0381325","12,44446875","-3,78065625",,,,,,,,
,10149,"Сопло KINGROON із загартованої сталі для 3д принтерів Bambu Lab X1, P1",,"1,1","46,2","57,75","79,695","73,7352","64,68","66,36168","69,3","88,23969","78,222375","-23,764125",,,,,,,,
,10150,Новий екструдер CREALITY Sprite SE-Neo для DIY Ender-3 V2 Neo /Ender-3 Neo /Ender-3 Max NeoEnder-2 Pro,,25,1050,"1312,5","1811,25","1675,8",1470,"1508,22",1575,"2005,4475","1777,78125","-540,09375",,,,,,,,
,10151,Оновлений хотенд FlyingBear E3D V6 для 3d принтера Ghost 6 з біметалевим гролом,,10,420,525,"724,5","670,32",588,"603,288",630,"802,179","711,1125","-216,0375",,,,,,,,
,10152,Безщітковий вентилятор равлик AOKIN 5015 24V 50 мм x 50 мм x 15 мм,,"0,75","31,5","39,375","54,3375","50,274","44,1","45,2466","47,25","60,163425","53,3334375","-16,2028125","7,938",,,,,,,
,10153,"Тефлонова трубка для 3д принтера для нитки 0,7 мм + 2 фіттинга PC4-M6 + 2 фіттинга PC4-M10",,"2,4","100,8",126,"173,88","160,8768","141,12","144,78912","151,2","192,52296",135,"7,2","0,05333333333",,,,,,,
,10154,"Сопла латунні Creality для 3д принтерів K1/K1 MAX 0,6 мм",,1,42,"52,5","72,45","67,032","58,8","60,3288",63,"80,2179","71,11125","-21,60375",,,,,,,,
,10155,"Сопла латунні Creality для 3д принтерів K1/K1 MAX 0,2 мм",,"0,85","35,7","44,625","61,5825","56,9772","49,98","51,27948","53,55","68,185215","60,4445625","-18,3631875",,,,,,,,
,10156,Еластичне адгезійне покриття Kingroon для столика 3d принтера із магнітною основою 180*180 мм,,"8,7","365,4","456,75","630,315","583,1784","511,56","524,86056","548,1","697,89573","618,667875","-187,952625",,,,,,,,
,10157,Самоклеюча термоізоляція TWO TREES для стола 3д принтера 310*310 мм,,"2,7","113,4","141,75","195,615","180,9864","158,76","162,88776","170,1","216,58833","28,5768","0,9072","0,0064",,,,,,,
,10158,Пружна металева адгезивна пластина PEI - PEI для 3д принтерів 235x235 mm,,"10,6","445,2","556,5","767,97","710,5392","623,28","639,48528","667,8","850,30974","985,005","231,504",,,,,,,,
,10159,"Creality направляюча рейкової осі X MGN12C з підтримкою монтажного кронштейна Sprite Pro для 3D-принтерів Creality Ender 3, Ender 3 Pro, Ender 3 V2",,"26,5",1113,"1391,25","1919,925","1776,348","1558,2","1598,7132","1669,5","2125,77435","280,476","8,904","0,0064",,,,,,,
,10160,Комплект гвинтів осі Z для Creality Ender 3 / Ender-3 Pro/Ender-3 V2 ,,30,1260,1575,"2173,5","2010,96",1764,"1809,864","1627,75","2406,537","2133,3375","-648,1125",,,,,,,,
,10161,Камера Creality Nebula High-definition для 3д принтерів,,"17,8","747,6","934,5","1289,61","1193,1696","1046,64","1073,85264","1121,4","1167,9","1265,78025","-384,54675",,,,,,,,
,10162,Хотенд FLSUN для 3д принтера V400 (набір),,"22,11","928,62","1160,775","1601,8695","1482,07752","1300,068","1333,869768","1392,93","1773,617769","1572,269738","-477,6589125",,,,,,,,
,10163,латунне сопло creality 0.4 мм + силіконовий чохол для 3д принтера ENDER 3 v2 neo,,1,42,"52,5","72,45","67,032","58,8","60,3288",63,"80,2179","71,11125","-21,60375",,,,,,,,
,10164,"Сопло YES для 3d принтерів Ender-3 V3 SE, Ender-7, Ender-5 S1 0,2 мм мідне з покриттям",,"1,5",63,"78,75","108,675","100,548","88,2","90,4932","94,5","120,32685","106,666875","-32,405625",,,,,,,,
,10165,"Сопло YES для 3d принтерів Ender-3 V3 SE, Ender-7, Ender-5 S1 0,6 мм мідне з покриттям",,"1,5",63,"78,75","108,675","100,548","88,2","90,4932","94,5","120,32685","106,666875","-32,405625",,,,,,,,
,10166,,,"3,48","146,16","182,7","252,126","233,27136","204,624","209,944224","219,24","279,158292","247,46715","-75,18105",,,,,,,,
,10167,,,"0,5555555556","23,33333333","29,16666667","40,25","37,24","32,66666667","33,516",35,"44,5655","39,50625","-12,00208333",,,,,,,,
,10168,"Латунне сопло aimsoar V5 V6 J-head для 3д принтера  ANYCUBIC  Kobra 2 (0,4 мм)",,1,42,"52,5","72,45","67,032","58,8","60,3288",63,"80,2179","71,11125","-21,60375",,,,,,,,
,10169,"Вентилятор SZYTF 4010 для 3д принтера, 24 Вольт",,"1,1","46,2","57,75","79,695","73,7352","64,68","66,36168","69,3","88,23969","78,222375","-23,764125",,,,,,,,
,10170,"Кулер для 3d принтера, DC 24 V",,"1,5",63,"78,75","108,675","100,548","88,2","90,4932","94,5","93,5",,,,,,,,,,
,10171,"Сопло Kingroon V5 V6 E3D з внутрішнім діаметром 0,2 мм",,"0,2128333333","8,939","11,17375","15,419775","14,266644","12,5146","12,8399796","13,4085","17,07304305","15,13484438","-4,597998125",,,,,,,,
,10172,"Сопла латунні Creality для 3д принтерів K1 / K1 MAX 0,8 мм",,"1,2","50,4",63,"86,94","80,4384","70,56","72,39456","75,6","96,26148","85,3335","-25,9245",,,,,,,,
,10173,Сопло IdeaFormer  для 3д принтера Bambu Lab X1/ X1 / P1P/ P1S із загартованої сталі для швидкісного одруку ,,"2,35","98,7","123,375","170,2575","157,5252","138,18","141,77268","148,05","188,512065","167,1114375","-50,7688125",,,,,,,,
,10174,термістор,,"0,76","31,92","39,9","55,062","50,94432","44,688","45,849888","47,88","60,965604","54,04455","-16,41885",,,,,,,,
,10175,силіконовий чохол MK10 ,,"1,2","50,4",63,"86,94","80,4384","70,56","72,39456","75,6","96,26148","85,3335","-25,9245",,,,,,,,
,10176,силіконовий чохол v6,,"0,52","21,84","27,3","37,674","34,85664","30,576","31,370976","32,76","41,713308","36,97785","-11,23395",,,,,,,,
,10177,силіконовий чохол MK7 MK8 MK9,,"0,5",21,"26,25","36,225","33,516","29,4","30,1644","31,5","40,10895","35,555625","-10,801875",,,,,,,,
,10178,Екструдер Creality для 3д принтерів K1/K1 MAX,,20,840,1050,1449,"1340,64",1134,"1206,576","1084,6","1084,6","1422,225","-432,075","1084,6",,,,,,,
,10179,Хотенд CREALITY для 3д принтера CR-200B ,,15,630,"787,5","1086,75","1005,48",882,"904,932",945,"1203,2685","1066,66875","-324,05625",,,,,,,,
,10180,"Кроковий двигун NEMA17 23 мм 0,42 N.м 1,5 A для 3D-принтера",,"3,88","162,96","203,7","281,106","260,08416","228,144","234,075744","244,44","311,245452","275,91165","-83,82255",,,,,,,,
,10181,Вирівнююча пружина Maccurat для 3D-принтера 8х20,,"1,2","50,4",63,"86,94","80,4384","70,56","72,39456","75,6","96,26148","85,3335","-25,9245",,,,,,,,
,10182,"Сопло Hhiddo 0,4 мм із загартованої сталі для 3D-принтерів  Creality K1/K1 MAX",,"1,6","67,2",84,"115,92","107,2512","94,08","96,52608","100,8","128,34864","113,778","-34,566",,,,,,,,
,10183,"Сопло Hhiddo 0,4 мм із загартованої сталі для 3D-принтерів QIDI Tech X-PLUS 3/ X-MAX 3/X-SMART 3",,"1,64","68,88","86,1","118,818","109,93248","96,432","98,939232","103,32","131,557356","116,62245","-35,43015",,,,,,,,
,10184,"Цільне сопло Creality 0,4 мм для 3д принтерів Creality k1C/K1 Max /Ender3 v3",,3,126,"157,5","217,35","201,096","176,4","180,9864",189,"209,95","171,6","-106,545",,,,,,,,
,10185,"Сопло Kingroon із загартованої сталі 0,4 мм для 3д принтерів Ender-3 CR10",,"1,614","67,788","84,735","116,9343","108,189648","94,9032","97,3706832","101,682","129,4716906","114,7735575","-34,8684525",,,,,,,,
,10186,"Сопло Hhiddo E3D  із загартованої сталі 0,4 мм для 3д принтерів",,"1,635","68,67","85,8375","118,45575","109,59732","96,138","98,637588","103,005","131,1562665","116,2668938","-35,32213125",,,,,,,,
,10187,Роликовий підшипник Creality для 3д принтерів,,"0,8033333333","33,74","42,175","58,2015","53,84904","47,236","48,464136","50,61","64,441713","57,1260375",,,,,,,,,
,10188,Синхронний ремінь Creativity Y-Вісь 757 мм,,"1,88","78,96","98,7","136,206","126,02016","110,544","113,418144","118,44","150,809652","133,68915","98,7",,,,,,,,
,10189,Синхронний ремінь Creativity Y-Вісь 757 мм,,"2,18","91,56","114,45","157,941","146,12976","128,184","131,516784","137,34","174,875022","155,022525","114,45",,,,,,,,
,10190,"Сопло Hhiddo 0,4 мм із загартованої сталі для 3D-принтерів Ender-7/Ender-3 V3 SE/Ender-5 S1",,"1,64","68,88","86,1","118,818","109,93248","96,432","98,939232","103,32","131,557356","116,62245",,,,,,,,,
,10191,"Сопло Hhiddo 0,4 мм із загартованої сталі для 3D-принтерів Elegoo Neptune 4/Neptune 4 Pro",,"1,64","68,88","86,1","118,818","109,93248","96,432","98,939232","103,32","131,557356","116,62245",,,,,,,,,
,10192,"Сопло Hhiddo 0,4 мм Volcano із загартованої сталі для 3D-принтерів",,1,42,"52,5","72,45","67,032","58,8","60,3288",63,"80,2179","71,11125",,,,,,,,,
,10193,Нагрівальний блок для Ender 3 V3 SE Теплоблок 3D-принтера,,"2,05","86,1","107,625","148,5225","137,4156","120,54","123,67404","129,15","164,446695","145,7780625",,,,,,,,,
,10194,Нагрівач та термістор для Ender 3 V3 SE,,"3,23","135,66","169,575","234,0135","216,51336","189,924","194,862024","203,49","259,103817","229,6893375",,,,,,,,,
,10195,"Сопло T-Trees 0,8 мм із загартованої сталі для 3D-принтерів Creality K1/K1 Max/ Anycubic Vyper/Kobra",,"1,43","60,06","75,075","103,6035","95,85576","84,084","86,270184","90,09","114,711597","101,6890875",,,,,,,,,
,10196,Комплект екструдера E3D V6 з сталевим горлом ,,"2,56","107,52","134,4","185,472","171,60192","150,528","154,441728","161,28","205,357824","182,0448",,,,,,,,,
,10197,Комплект друкуючої головки SEEJIE для 3D-принтера ANYCUBIC Kobra Go,,42,1764,2205,"3042,9","2815,344","2469,6","2533,8096",2646,"3369,1518","800,2",,,,,,,,,
,10198,Нагрівач та термістор Maccurat для 3d принтера Bambu Lab X1/X1-Carbon Hotend,,"4,4","184,8",231,"318,78","294,9408","258,72","265,44672","277,2","259,25","312,8895",,,,,,,,,
,10199,Нагрівач та термістор для 3d принтера Bambu Lab P1P / P1S,,"4,88","204,96","256,2","353,556","327,11616","286,944","327,11616","307,44","391,463352","347,0229",,,,,,,,,
,10200,Двигун екструдера Creality круглий кроковий двигун для 3D-принтера K1/K1 Max,,20,840,1050,1449,"1340,64",1176,"1206,576",1260,"1604,358","1084,6","1084,6",,,,,,,,
,10201,"Вентилятор охолодження SZYTF 4020 для 3д принтера, 24 Вольт",,"0,92","38,64","48,3","66,654","61,66944","54,096","55,502496","57,96","73,800468",5,,,,,,,,,
,10202,Cопло Creality для 3д принтеров Creality k1C / K1 Max / Ender3 v3 0.6,,,,0,0,0,0,0,0,0,0,,,,,,,,,
,10203,Cопло Creality для 3д принтеров Creality k1C / K1 Max / Ender3 v3 0.2,,,,0,0,0,0,0,0,0,0,,,,,,,,,
,10204,Cопло Creality для 3д принтеров Creality k1C / K1 Max / Ender3 v3 0.8,,,,0,0,0,0,0,0,0,0,,,,,,,,,
,10205,,,"1,16","48,72","60,9","84,042","77,75712","68,208","69,981408","73,08","93,052764","82,48905",,,,,,,,,
,10206,Хотеyl для 3д принтера Creality CR-10 smart,,"20,02","840,84","1051,05","1450,449","1341,98064","1177,176","1207,782576","1261,26","1605,962358","1423,647225",,,,,,,,,
,10207,Екструдер Crielety для 3d принтера CR-6 SE/CR-6 Max/CR-10 Smart,,10,420,525,"724,5","670,32",588,"603,288",630,"802,179","711,1125",,,,,,,,,
,10208,Распылитель для кухонного масла 200 мл,,"2,3","96,6","120,75","166,635","154,1736","135,24","138,75624","144,9","184,50117","163,555875",,,,,,,,,
,10209,міні електро дрель USB ,,"6,3","264,6","330,75","456,435","422,3016","370,44","380,07144","396,9","505,37277","448,000875",,,,,,,,,
,10210,Надійна автоматична парасоля на 12 шпиць з 2 шаровим захистом  ,,9,378,"472,5","652,05","603,288","529,2","542,9592",567,"721,9611","640,00125",,,,,,,,,
,10211,Набір лез для ножа по обробці пластикових 3d деталелй,,"2,2","92,4","115,5","159,39","147,4704","129,36","132,72336","138,6","176,47938","156,44475",,,,,,,,,
,10212,"Сопло IdeaFormer 0,8мм  для 3д принтера Bambu Lab X1/ X1 / P1P/ P1S із загартованої сталі для швидкісного одруку ",,"1,5194","63,8148","79,7685","110,08053","101,8484208","89,34072","91,66357872","95,7222","121,8830773","108,0464333",,,,,,,,,
,10213,Хотенд EARTH'S SURFACE с радиатором для 3d принтера CR-10S Pro/CR-10S Pro V2,,"6,77","284,34","355,425","490,4865","453,80664","398,076","408,425976","426,51","543,075183","481,4231625",,,,,,,,,
,10214,"Червона тефлонова трубка TWO TREES для 3д принтера для філамента 1,75 мм",,"1,38","57,96","72,45","99,981","92,50416","81,144","83,253744","86,94","110,700702","98,133525",,,,,,,,,
,10215,"Синя тефлонова трубка TWO TREES для 3д принтера для філамента 1,75 мм",,"1,25","52,5","65,625","90,5625","83,79","73,5","75,411","78,75","100,272375","88,8890625",,,,,,,,,
,10216,Термістор IdeaFormer для 3D-принтерів Artillery Sidewinder X1/X2 Genius,,"1,8","75,6","94,5","130,41","120,6576","105,84","108,59184","113,4","144,39222","128,00025",,,,,,,,,
,10217,"Хотенд  5Aplusreprap V5 для 3д принтера Anycubic I3 Mega, Mega-S з радіатором з оновленим нагрівачем",,6,252,315,"434,7","402,192","352,8","361,9728",378,"481,3074","426,6675",,,,,,,,,
,10218,Міні-підставка для ноутбука з двома USB вентиляторами ,,"2,5",105,"131,25","181,125","167,58",147,"150,822","157,5","200,54475","177,778125",,,,,,,,,
,10219,Екструдер для 3д принтера Creality Ender 3 S1,,"18,64","782,88","978,6","1350,468","1249,47648","1096,032","1124,528832","1174,32","1495,261656","1325,5137",,,,,,,,,
,10220,Керамічний трубчатий нагрівач для 3d  принтерів K1 / K1 MAX  ,,"1,68","70,56","88,2","121,716","112,61376","98,784","101,352384",108,"101,4","119,4669","88,2","149,6",,,,,,,
,10221,Силіконовий новок для creality K1 /K1 max,,"0,77","32,34","40,425","55,7865","51,61464","45,276","46,453176","48,51","61,767783","54,7556625",,,,,,,,,
,10222,Аксесуар в авто качка Crazy Duck в чорній кулі 8 шолом з пропелером,,2,84,105,"144,9","134,064","117,6","120,6576",126,"160,4358","142,2225",,,,,,,,,
,10223,Bluetooth аудіо приймач / передавач VIKEFON,,"2,25","94,5","118,125","163,0125","150,822","132,3","135,7398","141,75","180,490275","160,0003125",,,,,,,,,
,10224,"Латунні сопла XMSJ MK8 / 0,6 мм, для 3d принтера",,"0,165","6,93","8,6625","11,95425","11,06028","9,702","9,954252","10,395","13,2359535","11,73335625",,"9,009","9,35",,,,,,
,10225,Екструдер CREALITY Sprite Pro,,41,1722,"2152,5","2970,45","2748,312","2410,8","2473,4808",2583,"3288,9339","2915,56125",,,,,,,,,
,10226,"PLA пластик Sunlu, 1,75 mm/ 1kg/ GREY",,11,462,"577,5","796,95","737,352","646,8","663,6168",693,"882,3969","782,22375",,,,,,,,,
,10227,"PETG пластик Sunlu, 1,75 mm/ 1kg - Asphalt",,10,420,525,"724,5","670,32",588,"603,288",630,"802,179","711,1125",,,,,,,,,
,10228,столик для 3д принтера flying bear ghost 5 з підігрівом,,"35,68","1498,56","1873,2","2585,016","2391,70176","2097,984","2152,531584","2247,84","2862,174672","2537,2494",,,,,,,,,
,10229,Хотенд для 3д принтера flying bear S1 зі сталевим соплом,,"18,76","787,92","984,9","1359,162","1257,52032","1103,088","1131,768288","1181,88","1504,887804","992,8",,,,,,,,,
,10230,Хотенд для 3д принтера kobra 3 / kobra 3 combo з біметалевим горлом,,"5,22","219,24","274,05","378,189","349,90704","306,936","314,916336","328,86","418,737438","371,200725",,,,,,,,,
,10231,Хотенд TWO TREES для 3д принтера Bambu Lab A1 mini,,"8,92","374,64","468,3","646,254","597,92544","524,496","538,132896","508,236624","715,543668","634,31235",,,,,,,,,
,10232,PEI пластина для 3д принтера FlyingBear Reborn 2,,"48,3","2028,6","2535,75","3499,335","3237,6456","2840,04","2913,88104","3042,9","3522,537113",,,,,,,,,,
,10233,Хотенд Creality з керамічним нагрівачем  та швидкозмінним соплом для 3D-принтера K1С/K1Max,,"15,66666667",658,"822,5","1135,05","1050,168","921,2","945,1512",987,"0,214797136","892,6428",,,,,,,,,
,10234,PEI поверхня FYSETC для 3д принтерів Bambu Lab X1/P1P/P1S,,"9,4","394,8","493,5","681,03","630,1008","552,72","567,09072","493,5","573,75","0,4532674772",,,,,,,,,
,10235,Керамічний трубчатий нагрівач  та термістоор для 3d принтерів Creality K1 / K1 MAX,,"3,35","140,7","175,875","242,7075","224,5572","196,98","190,87362","211,05",,,,,,,,,,,
,10236,Хотенд HIRUI із радіатором біметалевим термобар'єром  і мідним соплом для Ender-3 V3 SE,,"8,74","367,08","458,85","633,213","585,85968","513,912","527,273712","550,62",,,,,,,,,,,
,10237,Шестерні JUUPINE для екструдера 3d принтера Creality K1 / K1 max,,4,168,210,"289,8","268,128","235,2","241,3152",252,,,,,,,,,,,
,10238,Поверхня PEI для столика 3d принтера Creality K1 ,,27,1134,"1417,5","1956,15","1809,864","1587,6","1628,8776",1701,,,,,,,,,,,
,10239,Шестерні для екструдера Sprite,,6,252,315,"434,7","402,192","352,8","361,9728",378,,,,,,,,,,,
,10240,"PLA пластик Sunlu, 1,75 mm/ 1kg/ Black",,11,462,"577,5","796,95","737,352","646,8","663,6168",693,"727,6923077","567,6","0,2285714286",,,,,,,,
,10241,"PLA пластик Sunlu, 1,75 mm/ 1kg/ White",,11,462,"577,5","796,95","737,352","646,8","663,6168",693,,,,,,,,,,,
,10242,Горло (термобар'єр) NENYALV для 3д принтера Kobra 2,,"1,05","44,1","55,125","76,0725","70,3836","61,74","63,34524","66,15",,,,,,,,,,,
,10243,"Сопло Kingroon із загартованої сталі для 3д принтерів Bambu Lab X1 / P1, 0,2 мм",,"1,125","47,25","59,0625","81,50625","75,411","66,15","67,8699","70,875",,,,,,,,,,,
,10244,Шестерня  FYSETC для екструдера Bambu Lab A1 Mini,,"11,37333333","477,68","597,1","823,998","762,37728","668,752","686,139552","716,52",,,,,,,,,,,
,10245,Радіатор Creality для 3д принтерів K1 / K1 Max / K1C,,"2,28","95,76","119,7","165,186","152,83296","134,064","137,549664","143,64",,,,,,,,,,,
,10246,Хотенд OLOEY з керамічним нагрівачем  та швидкозмінним соплом для 3D-принтера K1С / K1 Max,,"8,6","361,2","451,5","623,07","576,4752","505,68","518,82768","451,5",,,,,,,,,,,
,10247,Материнська плата для 3D-принтера Ender-3 V3 KE,,"27,65","1161,3","1451,625","2003,2425","1853,4348","1625,82","1668,09132","1741,95",,,,,,,,,,,
,10248,Кабель від материнської плати до екструдера  в  3D принтері Flying Bear Ghost 6,,"10,58","444,36","555,45","766,521","709,19856","622,104","638,278704","0,223433584",,,,,,,,,,,
,10249,Шестерні OLOEY із загартованої сталі для екструдера 3d принтера Creality K1/K1 max/K1C,,"4,1","172,2","215,25","297,045","274,8312","241,08","247,34808","241,8",,,,,,,,,,,
,10250,Хотенд для 3д принтера Kobra 3 / Kobra 3 combo з радіатором та біметалевим горлом,,"6,81","286,02","357,525","493,3845","456,48792","400,428","410,839128",,"372,3",,,,,,,,,,
,10251,Хотенд для 3д принтера Mega Zero V2.0,,6,252,315,"434,7","402,192","352,8","361,9728",,,,,,,,,,,,
,10252,"Сопло для Bambu Lab A1/A1 Mimi 0,4 мм",,2,84,105,"144,9","134,064","117,6","120,6576",,,,,,,,,,,,
,10253,Набір шестерні TWO TREES для экструдера ELEGOO Neptune 4 / Pro / Plus / Max,,"5,4","226,8","283,5","391,23","361,9728","317,52","351,54","328,1",984,,,,,,,,,,
,10254,,,,,0,0,0,0,0,,,,,,,,,,,,
,10255,"Латунне сопло JUUPINE для 3д принтера Anycubic Kobra 3 Combo (0,4 мм)",,"0,6","25,2","31,5","43,47","40,2192","35,28","36,19728",,,,,,,,,,,,
,10256,,,,,0,0,0,0,0,,,,,,,,,,,,
,10257,Високотемпературна силіконова твердотільна проставка 12 mm,,2,84,105,"144,9","134,064","117,6","120,6576",126,"145,86075",,,,,,,,,,
,10258,Високотемпературна силіконова твердотільна проставка 18 mm,,2,84,105,"144,9","134,064","117,6","120,6576",126,"145,86075",,,,,,,,,,
,10259,PEI пластина Makerbase 225*225 для 3д принтера Neptune 4 ,,24,1008,1260,"1738,8","1608,768","1411,2","1447,8912",,,,,,,,,,,,
,10260,Двостороння поверхня PEO PEI для столика 3d принтера Creality K1 Max 315 x 310,,"27,65","1161,3","1451,625","2003,2425","1853,4348","1625,82","1668,09132","1500,25",,,,,,,,,,,
,10261,"PEI пластина HLKEJI 330*330 для 3д принтера Neptune 4 plus, Neptune 3 plus, ",,15,630,"787,5","1086,75","1005,48",882,"904,932",,,,,,,,,,,,
,10262,Хотенд JUUPINE з радіатоором для 3D-принтера Creality K1С / K1 Max,,"13,21","554,82","693,525","957,0645","885,49272","776,748","752,668812","693,525","752,668812",,,,,,,,,,
,10263,Хотенд Creality з радіатоором для 3D-принтера K1С / K1 Max,,"25,07","1052,94","1316,175","1816,3215","1680,49224","1474,116","1512,443016","1316,175","1428,418404",,,,,,,,,,
,10264,нагрівач з фіксатором для bambulab a1 mini ,,"22,5",945,"1181,25","1630,125","1508,22","1204,875","0,2156862745","1417,5",,,,,,,,,,,
