2,,назва,,ціна долар,ціна грн.,,,ціна для продажу,Опт.,ціна для продажу 2 (50%),ціна для продажу 3 (45%),ціна для продажу 4 (30%),,,,,,,,,,
2,10036,Поверхневий скляний стіл з обігрівом для Flying Bear Ghost 6,,"26,01666667","1092,7","1365,875","1884,9075","1743,9492","1529,78","1569,55428","1639,05","1841,472675","1850,077688","553,8691419",https://www.aliexpress.com/item/1005004341969449.html?spm=a2g0o.order_list.order_list_main.654.49bd1802F9hqiN,,,,,,,
11,10037,Хотенд с радиатором для 3d принтера ELEGOO Neptune 4/4Pro,,"9,29","390,18","487,725","673,0605","622,72728","546,252","560,454552","585,27","657,550845","660,6235125","197,7749261",https://www.aliexpress.com/item/1005006145321298.html?spm=a2g0o.order_detail.order_detail_item.3.5a11f19c3jS2Pt,,,,,,,
4,10038,Creality Ender-3 V2 Neo/Ender-3 Max Neo/Ender-3 Neo Hotend Kit 3D Printer Part Original,,10,420,525,"724,5","670,32",588,"603,288",630,"707,805","105,84","3,36","0,0064",,,,,,,
3,10039,Хотенд із радіатором для 3d принтера  Creality Newest Ender 3 V3 SE ,,9,378,"472,5","652,05","603,288","529,2","542,9592",567,"637,0245","640,00125","191,6011125","502,74","452,466","74,466","0,1481203008",,,,
,10040,Директ екструдер для Creality Ender-3 S1/Ender-5 S1/Ender-3 V3 SE/V3 KE,,"6,9","289,8","362,25","499,905","462,5208","405,72","439,39476","434,7","488,38545","490,667625","146,8941863",https://www.aliexpress.com/item/1005006199854668.html?spm=a2g0o.order_detail.order_detail_item.5.41dcf19cHG54zb,,,,,,,
5,10041,3d ручка для малювання / 3d друку пластиком,,"6,9","289,8","362,25","499,905","462,5208","405,72","416,26872","434,7","488,38545","490,667625","146,8941863",,"683,7264",,,,,,
4,10042, Хотенд 24V E3D V6 для  Voron 2.4 Prusa i3 MK3S Ender 3 CR10 etc,,12,504,630,"869,4","804,384","705,6","723,9456",756,"849,366","853,335","255,46815",https://www.aliexpress.com/item/1005005236690679.html?spm=a2g0o.order_detail.order_detail_item.4.6f91f19cYRA84b,,,,,,,
3,10043,Двухсторонний Печатный пружинный стальной лист PEI 235*235mm PEI  + Магнитная пластина  для 3D принтера CR10 Ender 3 Ender 5 ,,17,714,"892,5","1231,65","1139,544","999,6","1025,5896",1071,"1203,2685","1208,89125","361,9132125",https://www.aliexpress.com/item/1005005248459649.html?spm=a2g0o.order_list.order_list_main.10.49bd1802F9hqiN,,,,,,,
1,10044,Покращений хотенд  24v 70w  E3D V6 Straight-type J-Head для Flying Bear 3d Printer Reborn 2,,24,1008,1260,"1738,8","1608,768","1411,2","1447,8912",1512,"1750,329","1706,67","510,9363",https://www.aliexpress.com/item/1005004587909979.html?spm=a2g0o.order_detail.order_detail_item.5.32c5f19cVCVlUH,,,,,,,
5,10045,Хотенд Kingroon для KP3S,,"6,74","283,08","353,85","488,313","451,79568","396,312","406,616112","473,9110785","548,6113123","479,289825","143,4879443",https://www.aliexpress.com/item/1005003404923884.html?spm=a2g0o.order_list.order_list_main.648.49bd1802F9hqiN,,,,,,,
4,10046,Еластичне адгезійне покриття столика 3d принтера із магнітною основою 235*2335 мм,,"8,6","361,2","451,5","623,07","576,4752","505,68","518,82768","541,8","608,7123","611,55675","183,0855075",https://www.aliexpress.com/item/1005003722170813.html?spm=a2g0o.order_detail.order_detail_item.3.333bf19cISMgNk,,,,,,,
